time,USD bal,BTC bal,BTC bid,BTC ask,BTC diff,LTC bid,LTC ask,LTC diff,DOGE bid,DOGE ask,DOGE diff
Wed Dec 17 03:42:47 2014 , 0.822274166813 , 0.00249160776872 , 330.01750 , 355.32877 , -0.15420067 , 108.07003 , 109.35000 , 0.0 , 1812847.80000 , 1867641.20000 , 284059.25103 
Wed Dec 17 06:46:22 2014 , 0.830510837568 , 0.00255541796175 , 325.00000 , 347.98055 , -0.15415176 , 107.68198 , 108.99997 , 0.0 , 1812847.50000 , 1839999.90000 , 284086.2158 
Wed Dec 17 09:49:57 2014 , 3.10093466543 , 0.00960041692083 , 323.00000 , 347.94285 , -0.14907877 , 107.40984 , 108.64100 , 0.0 , 1733656.50000 , 1777661.00000 , 275095.20382 
Wed Dec 17 12:53:35 2014 , 3.51016400415 , 0.0109011304477 , 322.00000 , 355.31508 , -0.14555654 , 107.81470 , 108.94300 , 0.0 , 1720000.00000 , 1733000.00000 , 269107.19317 
Wed Dec 17 15:57:10 2014 , 1.96057295838 , 0.00621934484132 , 315.23786 , 333.63693 , -0.15069709 , 108.01543 , 109.14992 , 0.0 , 1772555.60000 , 1786055.90000 , 278143.10531 
Wed Dec 17 19:00:49 2014 , 1.62336572119 , 0.005136742866 , 316.03017 , 333.61651 , -0.15062386 , 108.00003 , 108.91091 , 0.0 , 1786055.30000 , 1840038.70000 , 278197.05028 
Wed Dec 17 22:04:24 2014 , 1.63363313124 , 0.00515808626895 , 316.71303 , 332.16265 , -0.15060756 , 107.27000 , 109.25698 , 0.0 , 1786055.20000 , 1833404.60000 , 278206.0425 
Thu Dec 18 01:07:59 2014 , 2.50902532457 , 0.00796515976055 , 315.00000 , 319.99946 , -0.14722302 , 107.55843 , 108.80000 , 0.0 , 1754000.00000 , 1786055.00000 , 272200.0673 
Thu Dec 18 04:11:34 2014 , 2.99785613834 , 0.00978631588125 , 306.33143 , 319.99814 , -0.14722302 , 106.00892 , 110.06961 , 0.0 , 1733655.30000 , 1753999.90000 , 272200.0673 
Thu Dec 18 07:15:08 2014 , 2.98476402356 , 0.00955036318586 , 312.52885 , 332.05974 , -0.14720597 , 109.54165 , 110.88105 , 0.0 , 1736510.70000 , 1775463.80000 , 272209.04987 
Thu Dec 18 10:18:43 2014 , 2.89880488531 , 0.00927513295965 , 312.53513 , 332.06000 , -0.14720597 , 109.93879 , 110.99998 , 0.0 , 1739565.00000 , 1780000.00000 , 272209.04987 
Thu Dec 18 13:22:19 2014 , 2.33670986715 , 0.00753390935556 , 310.15901 , 332.05946 , -0.14887699 , 109.79502 , 110.99999 , 0.0 , 1759660.00000 , 1798109.50000 , 275230.00316 
Thu Dec 18 16:25:54 2014 , 3.05879465377 , 0.00985272157034 , 310.45175 , 332.05962 , -0.14717212 , 109.66833 , 111.00000 , 0.0 , 1733655.70000 , 1786054.80000 , 272227.01163 
Thu Dec 18 19:29:28 2014 , 1.97936102873 , 0.00637464285238 , 310.50540 , 355.50094 , -0.15199679 , 109.05095 , 110.38770 , 0.0 , 1776310.70000 , 1800851.60000 , 281316.87075 
Thu Dec 18 22:33:03 2014 , 2.71357735012 , 0.00875301282508 , 310.01638 , 369.99293 , -0.1513302 , 110.10845 , 112.00000 , 0.0 , 1750059.80000 , 1802955.20000 , 280155.19542 
Fri Dec 19 01:36:36 2014 , 2.72055969923 , 0.00877504481442 , 310.03371 , 369.99664 , -0.15131331 , 110.60000 , 111.97038 , 0.0 , 1750059.70000 , 1802955.10000 , 280164.1782 
Fri Dec 19 04:40:09 2014 , 3.45833322215 , 0.0111489214479 , 310.19442 , 369.97189 , -0.14959909 , 109.71311 , 111.00000 , 0.0 , 1724196.70000 , 1776310.50000 , 277161.19087 
Fri Dec 19 07:43:44 2014 , 6.98509522849 , 0.022516752682 , 310.21770 , 369.23861 , -0.14061656 , 109.60950 , 110.99993 , 0.0 , 1607000.00000 , 1627088.00000 , 262155.23348 
Fri Dec 19 10:47:21 2014 , 7.95139770061 , 0.0256297788133 , 310.24059 , 369.10649 , -0.13872395 , 108.10111 , 109.84352 , 0.0 , 1576850.20000 , 1624510.50000 , 259161.21015 
Fri Dec 19 13:51:02 2014 , 6.56461664493 , 0.0207083163932 , 317.00388 , 364.99365 , -0.14057989 , 109.48700 , 110.98888 , 0.0 , 1625495.10000 , 1648878.10000 , 262173.18918 
Fri Dec 19 16:54:39 2014 , 6.4589343568 , 0.0206031017467 , 313.49330 , 349.98514 , -0.14236864 , 108.54251 , 110.77823 , 0.0 , 1627295.20000 , 1651704.70000 , 265203.13308 
Fri Dec 19 19:58:17 2014 , 6.46718855761 , 0.020626527932 , 313.53743 , 348.99289 , -0.14235075 , 108.70554 , 110.37085 , 0.0 , 1627295.10000 , 1653321.80000 , 265212.12579 
Fri Dec 19 23:01:54 2014 , 8.87015157463 , 0.0282658768968 , 313.81130 , 348.97106 , -0.13480897 , 108.50476 , 110.29988 , 0.0 , 1552662.10000 , 1579553.00000 , 253200.13424 
